speaker_id,condition,n,wer_mean,speaker_cosine_mean
1988,original,5,0.04512820512820513,1.0
1988,pitch_+3,5,0.13042624042624043,0.24070972502231597
1988,pitch_-3,5,0.1724075924075924,0.12881852835416793
2035,original,5,0.03076923076923077,1.0
2035,pitch_+3,5,0.23398601398601399,0.4124856472015381
2035,pitch_-3,5,0.21748251748251746,0.18779267072677613
2086,original,5,0.00784313725490196,1.0
2086,pitch_+3,5,0.1356760443307758,0.2681960046291351
2086,pitch_-3,5,0.2688860770852964,0.3261991798877716
2277,original,5,0.0,1.0
2277,pitch_+3,5,0.1329004329004329,0.2013836234807968
2277,pitch_-3,5,0.4284715284715285,0.14654549062252045
7976,original,5,0.02,1.0
7976,pitch_+3,5,0.12751552795031057,0.14302072674036026
7976,pitch_-3,5,0.13429813664596274,0.1809765189886093
